Master ISBN,DOI Link,Title,Subtitle,Edition,Author,Subject Level 1,Subject Level 2,Subject Level 3,Subject Level 4,Series Name,First Published,Copyright Year,Imprint,Is Open Access?,Hardback ISBN,Paperback ISBN,eBook Status,DRM Status,Excluded Regions,Publisher Group,Author affiliation,Is Entitled
9781003402848,10.1201/9781003402848,Applied Machine Learning Using mlr3 in R,,1,Michel Lang;Raphael Sonabend;Lars Kotthoff;Bernd Bischl,Computer Science;Engineering & Technology;Mathematics & Statistics,Artificial Intelligence;Systems & Control Engineering;Statistics & Probability,Machine Learning - Design;Machine Learning;Statistics,Statistical Computing,,2024,2024,Chapman and Hall/CRC,No,9781032515670,9781032507545,Available,DRMN,,Science,,No
9788770047142,10.1201/9788770047142,Explainable Artificial Intelligence: A Practical Guide,,1,Parikshit Narendra Mahalle;Yashwant Sudhakar Ingle,Computer Science;Engineering & Technology,Artificial Intelligence;Systems & Control Engineering,Machine Learning,,River Publishers Rapids Series on Intelligence in Chips,2024,2025,River Publishers,No,,9788770047135,Available,DRMN,,Science,,No
9781003256083,10.1201/9781003256083,Applied Intelligence for Industry 4.0,,1,Nazmul Siddique;Mohammad Shamsul Arefin;M Shamim Kaiser;ASM Kayes,Computer Science;Engineering & Technology,Artificial Intelligence;CAD CAE CAM - Computing & Information Technology;Computation;Computer Graphics & Visualization;Computer Science (General);Information & Communication Technology (ICT);Electrical & Electronic Engineering;Systems & Control Engineering,Cognitive Artificial Intelligence.;Human Computer Intelligence;Machine Learning - Design;Intelligent Systems;Electrical Engineering Communications;Electronics,Intelligent Systems;Intelligent Systems,,2023,2023,Chapman and Hall/CRC,No,9781032164151,9781032187556,Available,DRMN,,Science,"University of Ulster, Magee, UK;Institute of Information Technology, Jahangirnagar University, Bangladesh",No
9781003019855,10.1201/9781003019855,Data Analytics and AI,,1,Jay Liebowitz,Computer Science;Engineering & Technology,Databases;Electrical & Electronic Engineering,Data Preparation & Mining;Electrical Engineering Communications,Intelligent Systems,Data Analytics Applications,2020,2021,Auerbach Publications,No,9780367522001,9780367895617,Available,DRMN,,Science,,No
9781003290100,10.1201/9781003290100,Machine Learning,"Concepts, Techniques and Applications",1,T V Geetha;S Sendhilkumar,Computer Science;Engineering & Technology;Information Science;Mathematics & Statistics,Computer Science (General);Technology;Information Technology;Electrical & Electronic Engineering;Systems & Control Engineering;Statistics & Probability,Machine Learning;Electrical Engineering Communications;Statistics,Intelligent Systems;Statistical Computing,,2023,2023,Chapman and Hall/CRC,No,9781032268286,9781032268293,Available,DRMN,,Science,"Anna University, India;Anna University, India",No
9781003486817,10.1201/9781003486817,Practical Machine Learning,A Beginner's Guide with Ethical Insights,1,Ally S. Nyamawe;Mohamedi M. Mjahidi;Noe E. Nnko;Salim A. Diwani;Godbless G. Minja;Kulwa Malyango,Computer Science;Engineering & Technology,Artificial Intelligence;Software Engineering & Systems Development;Systems & Control Engineering,Machine Learning - Design;Programming & Programming Languages;Machine Learning,,,2025,2025,Chapman and Hall/CRC,Yes,9781032782164,9781032770291,Available,DRMN,,Science,,Yes
9781003245469,10.1201/9781003245469,"Applications of Artificial Intelligence, Big Data and Internet of Things in Sustainable Development",,1,Sam Goundar;Archana Purwar;Ajmer Singh,Computer Science;Engineering & Technology,Artificial Intelligence;Databases;Electrical & Electronic Engineering;Systems & Control Engineering,Data Preparation & Mining;Machine Learning;Communications & Information Processing,Digital & Wireless Communication,,2022,2023,CRC Press,No,9781032154022,9781032157320,Available,DRMN,,Engineering,,No
9781003189053,10.1201/9781003189053,Machine Learning and Deep Learning in Efficacy Improvement of Healthcare Systems,,1,Om Prakash Jena;Bharat Bhushan;Nitin Rakesh;Parma Nand Astya;Yousef Farhaoui,Computer Science;Engineering & Technology,Artificial Intelligence;Biomedical Engineering;Databases;Systems & Control Engineering,Data Preparation & Mining;Machine Learning;Pattern Analysis,,Emerging Trends in Biomedical Technologies and Health informatics,2022,2022,CRC Press,No,9781032036724,9781032037950,Available,DRMN,,Engineering,"Ravenshaw University, Cuttack;Sharda University, India;Sharda University, India;Sharda University, Ghaziabad;Moulay Ismail University, Morocco",No
9781003516323,10.1201/9781003516323,Solid Waste Management,Navigation from Fundamentals to Innovation,1,José María Ponce-Ortega;Rogelio Ochoa-Barragan;César Ramírez-Márquez;Jose Ezequiel Santibanez-Aguilar;Aurora del Carmen Munguia-Lopez,Computer Science;Engineering & Technology;Environment and Sustainability;Mathematics & Statistics,"Chemical Engineering;Environmental Change & Pollution;Computation;Civil, Environmental and Geotechnical Engineering;Clean Tech;Applied Mathematics",Simulation & Modeling;Environmental Health;Pollution;Waste & Recycling;Environmental;Mathematical Modeling,,,2025,2026,CRC Press,No,9781032826356,9781032850610,Available,DRMN,,Science,"Michoacan Uni of Saint Nicholas of Hidalgo, Mexico;Michoacan Uni of Saint Nicholas of Hidalgo, Mexico;UMSNH, Mexico;Technological de Monterrey, Mexico;University at Buffalo, USA",No
9781003388982,10.4324/9781003388982,"Engineering, Science, and Sustainability",Advancements in Technology and Techniques,1,Dimitrios A Karras;Sai Kiran Oruganti;Sudeshna Ray,"Global Development;Economics, Finance, Business & Industry;Engineering & Technology;Environment and Sustainability",Development Policy;Sustainable Development;Clean Tech;Environmental Studies;Environmental Policy;Environmental Management;Economics;Manufacturing Engineering,Environmental Economics;Sustainable Engineering & Manufacturing;Business & Policy;Environmental,,,2023,2024,CRC Press,No,,9781032484235,Available,DRMN,,Engineering,,No
