title,authors,year,venue,doi,source_db,url
Reinforcement Learning based Anti-UAV Three-dimensional Pursuit-evasion Game for Substation Security,,2024,,,ieee-xplore,https://ieeexplore.ieee.org/document/10629444/
Game-theoretic decision-making intelligent learning method for anti-UAV protection of power transmission lines,,2024,,,ieee-xplore,https://ieeexplore.ieee.org/document/10627137/
Multidimensional Swarm Flight Approach for Chasing Unauthorized UAVs Leveraging Asynchronous Deep Learning,,2025,,,ieee-xplore,https://ieeexplore.ieee.org/document/11260983/
"Securing the Skies: a Comprehensive Survey on Anti-Uav Methods, Benchmarking, and Future Directions",,2025,,,ieee-xplore,https://ieeexplore.ieee.org/document/11148028/
Research on Command and Control Technology in Small-UAV Defense System,,2021,,,ieee-xplore,https://ieeexplore.ieee.org/document/9719084/
Research on UAV Swarm Confrontation Task Based on MADDPG Algorithm,,2020,,,ieee-xplore,https://ieeexplore.ieee.org/document/9421738/
A Centralized Planning With Decentralized Execution Framework for Counter-UAV Operations in Urban Environments,,2026,,,ieee-xplore,https://ieeexplore.ieee.org/document/11461509/
Reinforcement Learning-Based Multi-UAV Cooperative Jamming in 3D Environments,,2025,,,ieee-xplore,https://ieeexplore.ieee.org/document/11437650/
Deep Reinforcement Learning Applied for Threat Engagement by Loyal Wingmen Drones,,2024,,,ieee-xplore,https://ieeexplore.ieee.org/document/10837749/
"Counter UAV Swarms: Challenges, Considerations, and Future Directions in UAV Warfare",,2025,,,ieee-xplore,https://ieeexplore.ieee.org/document/10648596/
“Lure the Enemy in Deep”: Confronting Rogue UAV Through Diverse Hybrid Jamming,,2025,,,ieee-xplore,https://ieeexplore.ieee.org/document/10962158/
Real-Time Task Allocation for UAV Swarms in Complex Environments via Dynamic Hierarchical Attention GNN (DHA-GNN),,2026,,,ieee-xplore,https://ieeexplore.ieee.org/document/11348992/
Direction Prediction Error-Prioritized Experience Replay (DPE-PER) for Adversarial UAV Interception Under Partial Observability,,2026,,,ieee-xplore,https://ieeexplore.ieee.org/document/11408184/
An UAV Interception Method based on Guidance Law inspired Reinforcement Learning,,2025,,,ieee-xplore,https://ieeexplore.ieee.org/document/11150209/
Perspective-Based Motion Planning for UAV Interception,,2024,,,ieee-xplore,https://ieeexplore.ieee.org/document/10546175/
Reinforcement Learning-Based Countermeasures Against Attacking UAV Swarms,,2023,,,ieee-xplore,https://ieeexplore.ieee.org/document/10257255/
Reinforcement Learning-Based Counter Fixed-Wing Drone System Using GNSS Deception,,2024,,,ieee-xplore,https://ieeexplore.ieee.org/document/10413471/
Order-Based Quantitative Inference for Swarm Drone Estimation in Dynamic Environment,,2024,,,ieee-xplore,https://ieeexplore.ieee.org/document/10963046/
"Energy-Efficient Decentralized AI-RFDE Drone Swarm Defense Using Transformer Perception, DRL Coordination, and Bayesian Risk Modeling",,2025,,,ieee-xplore,https://ieeexplore.ieee.org/document/11337136/
