title,authors,year,venue,doi,source_db,url
反无人机集群作战效能评估研究综述,,2026,,,cnki,https://kns.cnki.net/kcms2/article/abstract?v=j0ZbOfXgIAgmTRmMcoaiLlJjNxTqsJby2aosKLSRkBlPQcxtw9xYRMQ191h5dg391GqGyFupgYaGavI43pOxywShbZgIql4MlvIJS21tMMcURo2RV9Te5JKapi7JfkTRxLdCQj9sduEG9531NfgwJK0P-qpHjs3UE-BSQMn1SKdadRwISa9oHg==&uniplatform=NZKPT&language=CHS
基于分层策略优化与多约束惩罚的反无人机任务分配算法,,2026,,,cnki,https://kns.cnki.net/kcms2/article/abstract?v=j0ZbOfXgIAh-HdDus62-iCh2T18pLbT94ahZNhwSiTHZ0LOvXEC6ilEPjo3GqXsVk30toaESozydKDZYaTTni-E5xYd8S19ldwx1ICwZbDhxpiDLwWSvxKKRSZzts_YQMY-bO7yS8uNwsU43NMbnd7Er-JREYP2JZFAhGCDhGaVhk_LlqxFqTg==&uniplatform=NZKPT&language=CHS
2025年无人机热点回眸,,2026,,,cnki,https://kns.cnki.net/kcms2/article/abstract?v=j0ZbOfXgIAh-HdDus62-iCh2T18pLbT9n7Iq8Emfqqw5r8Wrrz-woaa3JVk4v7Z1q42YKL2Ai5W7yzmIMa9Vg8CoN6cmL_y5qBXYd6StgToULF5sPct512B6xSKERVK8oZ3cry4wbJib23_nVIL6lAOsMT7ckB6bqPtbCxews6DFGfEzK9H44w==&uniplatform=NZKPT&language=CHS
对未来反无人机集群体系的思考：技术路径与发展方向,,2025,,,cnki,https://kns.cnki.net/kcms2/article/abstract?v=j0ZbOfXgIAj-2REwzPE4kQzbj7eOQQ_coUQCXr3Taw1a_1ZhESa1yWTNUJQhsPs1_uYYEkEdGSYmaSmnwPlaMOA6ocy6AzWaCXb4ya1i4oK-imlzPeLnfatVSPJMl3d93FcgK1wBVQ4jXenia2PHYtvuWaZexBVlNCn0tpjWaDGpN7FdJ8wfEI8sbHvB8N4g&uniplatform=NZKPT&language=CHS
“以群制群”反无人机集群作战研究动态与展望,,2025,,,cnki,https://kns.cnki.net/kcms2/article/abstract?v=j0ZbOfXgIAjLQtMwX16Iovm3S98Y47A9J74eL952oP9yCORvxmuzlDZzeru3dFJvLqZUtAvFAIVYV_rLU5B-de4chdG5o5ks39nsdmxXWbt1rKpJ3j1nDJKEzOkK3IYE4xzVmImfASHZDDFIOcbkVJ_axDUdZK0mJy6zSsJ0PQ7Uuwvg5hStEw==&uniplatform=NZKPT&language=CHS
基于多智能体深度强化学习的高炮反无人机算法,,2025,,,cnki,https://kns.cnki.net/kcms2/article/abstract?v=j0ZbOfXgIAixJ3C1PBdMn18893qcJJM-ePJoBrqiG-Vpp_8vi44SDO0_aT8EH71Bdt-54aCW-zlzk7KrnFEfti3VOu6H7v4JiKg4NGlK84sQd3fGuEq9sNxlI_qapHePp7zP-tSU_CxTtn6aAw5liC7ndU0RPprfv6RCUn_B_MHjnm1Z4Z2ahg==&uniplatform=NZKPT&language=CHS
人工智能辅助识别下的反无人机对策研究,,2025,,,cnki,https://kns.cnki.net/kcms2/article/abstract?v=j0ZbOfXgIAixJ3C1PBdMn18893qcJJM-ePJoBrqiG-Vd36KgFZQDmcE1r41Co5l5M5ZKk1I90CBEf1656cEwIWh162R96EMtsnuyC3XB_J3dCkc0gd_lwY4NB-SDbnDroJ5ykJR9-A1P1vsfxesYCrooZHsCri2WravHV9ge9dn4kTZ63VDOVw==&uniplatform=NZKPT&language=CHS
反“无人机蜂群”灵巧网电作战新技术,,2025,,,cnki,https://kns.cnki.net/kcms2/article/abstract?v=j0ZbOfXgIAg7RRYr31WLbWWRnHOIvg0E4UbDi0T-8TfqlVDRW-iMtkDTILu6JFQF0qx0TADrKQW02vU_J4MxsGQoj1EW9Owh_qs5mROSdXXjpCdMPGAtwU5_0iwHljXfacQ6lgAvgZNGpmBwtH7WClvHtiNyr8dCa15t-B1xeDcNACZvwVT8Kg==&uniplatform=NZKPT&language=CHS
基于卷积神经网络的反无人机蜂群智能决策算法,,2024,,,cnki,https://kns.cnki.net/kcms2/article/abstract?v=j0ZbOfXgIAg7RRYr31WLbWWRnHOIvg0E4UbDi0T-8TeEmBitOiIE1lWkJ_FgLfGQPu02uF82n5Us7DW0CWOUS9B2qrZfU8qVJE00zVlVwVKrJxsoqzt3YbYsC69bSmszgOYbDkHZz0Nte2zj7uNsgmmlci5Agc2SqJj6N0agIKItrjyoJwrhzg==&uniplatform=NZKPT&language=CHS
反无人机技术综述：通信技术与人工智能的融合,,2024,,,cnki,https://kns.cnki.net/kcms2/article/abstract?v=j0ZbOfXgIAgsZYEMy_ZkuyTUm55dulVz2o7DpUtvTCapxDSK95PvI2H9BxLAMPUTe8isxHeejmIw4ZVJ9tZ-FpomEv6N044Y8k1JdbB8N7g9-gB80cAW__kX25OXFdHmPoo9QUztS3lfjvn94v4tpkQpelDJyuomF_LzB9TqSe6X0G6VlB34Mw==&uniplatform=NZKPT&language=CHS
反无人机战车系统智能化对抗关键技术研究,,,,,cnki,https://kns.cnki.net/kcms2/article/abstract?v=j0ZbOfXgIAgsZYEMy_ZkuyTUm55dulVzC_Su2L6-U_erxPmqc-FdgMrPp43puJsOznRbfz24ZQg8cQeM3fTvWEsk5rbdpgPokFbbV82OEWkbWAC-3IZriw4IJ0q7T9YmgKmKQat89RMeovZqinys4YdjiMO9de09Safix8wOm3eL5iAc8B2uz95mGI9Bl9g-&uniplatform=NZKPT&language=CHS
改进遗传算法的反无人机作战火力分配优化,,2022,,,cnki,https://kns.cnki.net/kcms2/article/abstract?v=j0ZbOfXgIAgsZYEMy_ZkuyTUm55dulVz2o7DpUtvTCbWZhBToES1hCO03ATvHCi3U_nsNqKnxoLYSt4a6ULYHSsS8Bs0c1kJF2UJjy16D95tsljwQhXrnDqwldyI6SJyQt7JQEY-Q2Rj_hFWFojkt7gUAKynPJqScsCgXswIoyb3sGokVYcTDA==&uniplatform=NZKPT&language=CHS
粒子群算法在激光武器反无人机火力分配中的应用,,2021,,,cnki,https://kns.cnki.net/kcms2/article/abstract?v=j0ZbOfXgIAjpSGmPLrnZGnAIgrw6QxW6pIs4VqcwpCiWwgp4Xa-hyEnuM5AMX0OZP5T0iCah0MzTli05QSmb6fIDGFN8FWS22tvVgrEUnEzAUDzRdkODFIfyoiqte9NCtxARDkhHnNqZy2rbFtmUyXLYjUJnZ85YK6xjfNxA2tHqTKsgmR61Jw==&uniplatform=NZKPT&language=CHS
基于DQN的多类型拦截装备复合式反无人机任务分配方法,,2021,,,cnki,https://kns.cnki.net/kcms2/article/abstract?v=j0ZbOfXgIAjpSGmPLrnZGnAIgrw6QxW6pIs4VqcwpChnyqhd6ZzQNhFqFp3swucK7viCmnDolG9PMHp1GWe0gL7I-nSukL9pMcc4lbCD4QRH_mrXYNV8al6g0NZgssOJJ03csYURnnvkqSUCzvGpu68crlsRCfxBY-4cOg_UgPtfsbSQHm4KhQ==&uniplatform=NZKPT&language=CHS
基于深度强化学习的多无人机海上动态目标搜索方法研究,,,,,cnki,https://kns.cnki.net/kcms2/article/abstract?v=j0ZbOfXgIAjnthfD0d4InV7qDIdTqqSc0qzDmh-ancLmFJWscbu9peq0drSjHY2qR0bWpihxEpNzdjsh9Qxs5XT2gwsd38eq4VIW7P5vyWdnFjAW4YaSrVytglxb5FmeajyeXnzLRgjmSDMmm5IV6GafwaNRgPckyDOGfycsnlYZowMfuOTKgEgNsDEbagv3&uniplatform=NZKPT&language=CHS
