"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"UAV online path planning technology based on deep reinforcement learning","J. Fan; Z. Wang; J. Ren; Y. Lu; Y. Liu","Research and Development Center of China Academy of Launch Vehicle Technology of Beijing, Beijing, China; Research and Development Center of China Academy of Launch Vehicle Technology of Beijing, Beijing, China; Research and Development Center of China Academy of Launch Vehicle Technology of Beijing, Beijing, China; Research and Development Center of China Academy of Launch Vehicle Technology of Beijing, Beijing, China; School of Automation Science and Electrical Engineering of Beihang, University of Beijing, China",2020 Chinese Automation Congress (CAC),"29 Jan 2021","2020","","","5382","5386","This paper proposes a method for planning three-dimensional path for unmanned aerial vehicle (UAV) in complex airspace based on interfered fluid dynamical system (IFDS) and deep reinforcement learning. Firstly, the model of unmanned aerial vehicle under various constraints and the mathematical expression of threat zone are established. Secondly, in order to solve the problems of slow calculation speed and difficult to make the global optimal solution existed at present, an intelligent 3D path planning method on the basis of IFDS is proposed, and deep reinforcement learning is used to solve the coefficient of IFDS. The simulation results show that the path planned by the proposed method can avoid the threat zone effectively, meanwhile, the path is smooth, suitable and fuel saving for UAV.","2688-0938","978-1-7281-7687-1","10.1109/CAC51589.2020.9327752","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9327752","path planning;interfered fluid dynamical system (IFDS);unmanned aerial vehicle (UAV);deep reinforcement learning;Twin Delayed Deep Deterministic Policy Gradient (TD3)","Unmanned aerial vehicles;Path planning;Planning;Reinforcement learning;Atmospheric modeling;Mathematical model;Research and development","","7","","11","IEEE","29 Jan 2021","6-8 Nov. 2020","6-8 Nov. 2020","IEEE","IEEE Conferences"
"Path Planning and Obstacle Avoidance Based on Reinforcement Learning for UAV Application","G. -T. Tu; J. -G. Juang","Department of Communications, Navigation and Control Engineering, National Taiwan Ocean University, Keelung, Taiwan; Department of Communications, Navigation and Control Engineering, National Taiwan Ocean University, Keelung, Taiwan",2021 International Conference on System Science and Engineering (ICSSE),"20 Sep 2021","2021","","","352","355","Applications of drones in the military and daily life have increased in recent years. However, it is necessary to have obstacle avoidance capability. Path planning is also needed for automated tasks. In this study, path planning and obstacle avoidance based on a reinforcement learning algorithm are implemented in an unmanned aerial vehicle (UAV). For global path planning, a Q-learning algorithm is utilized to find the path between waypoints first. Then the local obstacle avoidance system is applied to train the UAV by the Deep Q-learning algorithm in Microsoft AirSim unreal environment.","2325-0925","978-1-6654-4848-2","10.1109/ICSSE52999.2021.9537945","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9537945","Q-learning;Deep Q-learning;path planning;obstacle avoidance;UAVs","Training;Virtual environments;Reinforcement learning;Path planning;Acoustics;Collision avoidance;Task analysis","","28","","8","IEEE","20 Sep 2021","26-28 Aug. 2021","26-28 Aug. 2021","IEEE","IEEE Conferences"
"Reinforcement-learning-based path planning for UAVs in intensive obstacle environment","M. Guo; T. Long; H. Li; J. Sun","School of Aerospace Engineering, Beijing Institute of Technology, Beijing, China; School of Aerospace Engineering, Beijing Institute of Technology, Beijing, China; School of Aerospace Engineering, Beijing Institute of Technology, Beijing, China; School of Aerospace Engineering, Beijing Institute of Technology, Beijing, China",2021 China Automation Congress (CAC),"14 Mar 2022","2021","","","6451","6455","In intensive obstacle environment, the available flying space is narrow, which makes it difficult to generate feasible path for UAVs within limited runtime. In this paper, a Q-learning-based planning algorithm is presented to improve the efficiency of single UAV path planning in intensive obstacle environment. By constructing the space-action state offline learning planning architecture, the proposed method realizes the rapid path planning of UAV, and solves the high time-consuming problem of reinforcement learning online path planning. Considering the time-consuming problem of Q-table re-training, a probabilistic local update mechanism is proposed by updating the Q-value of the states to reduce the high time-consuming of Q-table re-raining and realize the rapid update of Q-table. The probability of Q-value updating is up to the distance to the new obstacle. The closer the state is to the new obstacle, the higher its probability of re-training. Therefore, the flight trajectory can be quickly re-planned when the environment changes. Simulation results show that the proposed Q-learning-based planning algorithm can generate path for UAV from random start position and avoid the obstacles. Compared with the classical A* algorithm, the path planning time based on the trained Q table can be reduced from second to millisecond, which significantly improves the efficiency of path planning.","2688-0938","978-1-6654-2647-3","10.1109/CAC53003.2021.9727746","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9727746","UAV;path planning;reinforcement learning;Q-learning;offline training;probabilistic local update mechanism","Training;Runtime;Q-learning;Automation;Simulation;Probabilistic logic;Path planning","","7","","12","IEEE","14 Mar 2022","22-24 Oct. 2021","22-24 Oct. 2021","IEEE","IEEE Conferences"
"Autonomous UAV Path Planning in Complex Environments Using Deep Reinforcement Learning","S. Shao; Z. Xu","College of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China",2025 9th International Workshop on Control Engineering and Advanced Algorithms (IWCEAA),"28 Jan 2026","2025","","","69","72","With the widespread application of unmanned aerial vehicles (UAVs) in fields such as logistics, exploration, and disaster response, the capability for autonomous navigation in complex and unknown environments has become crucial. However, traditional path planning algorithms, such as $\mathrm{A}^{*}$ and RRT*, are often constrained by high computational costs and limited adaptability in high-dimensional and dynamic environments. Focusing on the issues above, the path planning problem for UAVs is modeled as a Markov decision process, and the proximal policy optimization algorithm is employed to train the navigation policy. A multi-objective reward function is meticulously designed, which not only directs the UAV toward the target but also effectively avoids obstacles and optimizes the flight path. Simulation results demonstrate that, compared to the classic deep Q-network algorithm, the proposed method achieves an improvement in the path planning success rate in complex obstacle environments by approximately 17%, while generating smoother and more efficient paths.","","979-8-3315-9112-0","10.1109/IWCEAA68605.2025.11352075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11352075","UAV Path Planning;Deep Reinforcement Learning;Autonomous Navigation;Obstacle Avoidance;Proximal Policy Optimization","Navigation;Heuristic algorithms;Simulation;Autonomous aerial vehicles;Deep reinforcement learning;Approximation algorithms;Path planning;Vehicle dynamics;Optimization;Autonomous robots","","","","18","IEEE","28 Jan 2026","31 Oct.-2 Nov. 2025","31 Oct.-2 Nov. 2025","IEEE","IEEE Conferences"
"Coverage Path Planning for SAR-UAV in Search Area Coverage Tasks Based on Deep Reinforcement Learning","H. Lu; Y. Yang; R. Tao; Y. Chen","Key Laboratory of Intelligent Sensing Technology of CETC Nanjing Research Institute of Electronics Technolog, Nanjing, China; Key Laboratory of Intelligent Sensing Technology of CETC Nanjing Research Institute of Electronics Technolog, Nanjing, China; Key Laboratory of Intelligent Sensing Technology of CETC Nanjing Research Institute of Electronics Technolog, Nanjing, China; Key Laboratory of Intelligent Sensing Technology of CETC Nanjing Research Institute of Electronics Technolog, Nanjing, China",2022 IEEE International Conference on Unmanned Systems (ICUS),"29 Dec 2022","2022","","","248","253","Path planning is the most critical step in the search area coverage, which plays a vital role in many search tasks like regional surveillance, search, and rescue, hazard monitoring, etc. UAVs equipped with SAR sensors (SAR-UAV) are usually adopted in search area coverage tasks for their great superiority over optical sensors w.r.t the ability to “see” through the darkness, clouds, and rain. The traditional coverage path planning methods can hardly derive optimal plans or respond to environmental changes in time. We proposed a coverage path planning algorithm based on DRL to handle the search area coverage problem for SAR-UAV in this paper. We first modeled the imaging process of SAR-UAV, and we then designed the RL algorithm's action space, reward function, etc. Finally, we enabled the SAR-UAV to cover every point in the task area by controlling the actions of the SAR-UAV based on deep reinforcement learning. The experimental results show that the proposed method can complete the search area coverage tasks of various sizes, reduce the risk of exposure and minimize power loss, which demonstrates the effectiveness of the proposed method on search area coverage.","2771-7372","978-1-6654-8456-5","10.1109/ICUS55513.2022.9987002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9987002","coverage path planning;SAR-UAV;search area coverage;deep reinforcement learning","Deep learning;Rain;Surveillance;Imaging;Reinforcement learning;Search problems;Path planning","","13","","12","IEEE","29 Dec 2022","28-30 Oct. 2022","28-30 Oct. 2022","IEEE","IEEE Conferences"
"Hybrid path planning and following of a quadrotor UAV based on deep reinforcement learning","L. Zhong; J. Zhao; H. Luo; Z. Hou","School of Systems Science and Engineering Sun Yat-sen University, Guangzhou, China; School of Systems Science and Engineering Sun Yat-sen University, Guangzhou, China; School of Systems Science and Engineering Sun Yat-sen University, Guangzhou, China; School of Systems Science and Engineering Sun Yat-sen University, Guangzhou, China",2024 36th Chinese Control and Decision Conference (CCDC),"17 Jul 2024","2024","","","1858","1863","Deep reinforcement learning(DRL)-based path planning algorithms have gained significant attention in recent years due to their end-to-end processing and robustness. Nevertheless, they face challenges in scenarios with long distances and dense obstacles because they only consider local environmental information. This paper presents a hybrid path planning and following approach that combines path planning based on soft actor-critic(SAC) with path following. Initially, a path is generated using the sampling-based method Adaptively Informed Trees (AIT*), and the path subsequently serves as tracking points for the planner. This approach guides the agent to move faster and more effectively toward the goal, and continuously updates the tracking point in real time. We conducted an experiment to evaluate the training process and performance of this hybrid path planning approach based on DRL while comparing it to the original DRL-based approach. The experimental results illustrate the superiority of the presented approach in both the training process and task performance.","1948-9447","979-8-3503-8778-0","10.1109/CCDC62350.2024.10587648","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10587648","Path Planning;Path Follow;Deep Reinforcement Learning;UAV;Soft Actor-Critic","Training;Tracking;Deep reinforcement learning;Path planning;Hybrid power systems;Robustness;Real-time systems","","3","","19","IEEE","17 Jul 2024","25-27 May 2024","25-27 May 2024","IEEE","IEEE Conferences"
"A method for optimizing UAV paths in dynamic scenes combined with deep reinforcement learning","H. Zhou","Fujian Normal University, Fuzhou, China","2025 IEEE 3rd International Conference on Sensors, Electronics and Computer Engineering (ICSECE)","2 Dec 2025","2025","","","1527","1532","This paper proposes a UAV path optimization method in dynamic scenes based on deep reinforcement learning, aiming to cope with the uncertainty and variability in the flight process through intelligent algorithms. Firstly, a path optimization model based on deep Q-network (DQN) was constructed. By perceiving environmental information in real time and combining it with reinforcement learning algorithm, the UAV can dynamically adjust its flight path in a dynamic environment. Secondly, through simulation experiments, the path optimization effect of this method under complex conditions such as different obstacle densities, flight altitudes, and wind speeds was evaluated. Experimental results show that the deep reinforcement learning method can significantly optimize the path length, effectively avoid collisions, and improve flight efficiency. Compared with traditional path planning methods, the optimized path has a shorter flight distance and lower flight time. In addition, the model's adaptability to real-time environmental changes has also been verified, demonstrating its potential for application in dynamic and complex environments.","","979-8-3315-0356-7","10.1109/ICSECE65727.2025.11256902","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11256902","UAV;Path Optimization;Deep Reinforcement Learning;Dynamic Environment;Deep Q Network","Adaptation models;Uncertainty;Heuristic algorithms;Wind speed;Deep reinforcement learning;Autonomous aerial vehicles;Reliability engineering;Real-time systems;Path planning;Robustness","","","","10","IEEE","2 Dec 2025","29-31 Aug. 2025","29-31 Aug. 2025","IEEE","IEEE Conferences"
"Research on the Construction of UAV Path Planning Algorithm Based on Deep Reinforcement Learning","Y. Gao; D. Zhang; Z. Xie","Weifang Engineering Vocational College, Weifang, Shandong Province, China; Weifang Engineering Vocational College, Weifang, Shandong Province, China; Weifang Engineering Vocational College, Weifang, Shandong Province, China",2025 5th International Conference on Electronic Information Engineering and Computer Science (EIECS),"18 Dec 2025","2025","","","561","564","At present, unmanned aerial vehicle (UAV) has quickly become an indispensable task execution tool in many industries by virtue of its autonomy, flexibility and security. However, at this stage, UAV still faces many challenges in practical application, especially in path planning. The traditional algorithm model mostly relies on static maps, which is difficult to adapt to the unknown dynamic obstacle environment, thus affecting task execution and its own safety. In this paper, the application feasibility of deep reinforcement learning in this field will be comprehensively analyzed, and a new path planning algorithm for UAV will be proposed to improve the adaptability of UAV in unknown dynamic obstacle environment. Practice has proved that on the basis of the existing deep reinforcement learning algorithm, the introduction of long-term and short-term memory network (LSTM) to encode the historical trajectory of obstacles and output the future multi-step position probability distribution can effectively improve the prediction accuracy of the future state of obstacles. At the same time, the design of double experience playback mechanism, combined with uniform sampling and priority sampling strategy, balances exploration and utilization, which is beneficial to accelerate the learning efficiency of key scenes and optimize the convergence speed.","","979-8-3315-6691-3","10.1109/EIECS67708.2025.11283577","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11283577","deep reinforcement learning;unmanned aerial vehicle (UAV);path planning algorithm;Actor-Critic strategy gradient","Adaptation models;Heuristic algorithms;Autonomous aerial vehicles;Deep reinforcement learning;Path planning;Trajectory;Reliability;Security;Vehicle dynamics;Long short term memory","","","","10","IEEE","18 Dec 2025","26-28 Sept. 2025","26-28 Sept. 2025","IEEE","IEEE Conferences"
"Option-Based Hierarchical Reinforcement Learning for UAV Multi-Objective Path Planning","S. Zhu; Q. Wang","Dept. School of Automation, Southeast University, Nanjing, China; Dept. School of Automation, Southeast University, Nanjing, China",2023 China Automation Congress (CAC),"19 Mar 2024","2023","","","866","871","This paper proposes a deep reinforcement learning approach to solve the multi-objective path planning problem for UAV material delivery in a dynamic multi-obstacle environment. The approach uses option-based hierarchical reinforcement learning to decompose the problem into single-objective subtasks, and a novel network structure is designed to extract and fuse state and obstacle information to facilitate decision-making. A twin delayed deep deterministic policy gradient algorithm is used for centralized training and distributed execution. The approach also introduces a new reward function to speed up convergence. Experimental results demonstrate that the proposed method is effective in completing the task with faster convergence and generalization compared to traditional TD3 algorithm,","2688-0938","979-8-3503-0375-9","10.1109/CAC59555.2023.10450655","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10450655","path planning;option;hierarchical;TD3;UAV","Training;Heuristic algorithms;Autonomous aerial vehicles;Deep reinforcement learning;Path planning;Task analysis;Convergence","","","","15","IEEE","19 Mar 2024","17-19 Nov. 2023","17-19 Nov. 2023","IEEE","IEEE Conferences"
"Cooperative Multi-Target Search with UAV Swarms: Evolutionary vs. Reinforcement Learning Strategies","K. Kara; İ. Güven; E. Yanmaz","Electrical and Electronics Engineering, Ozyegin University, Istanbul, Turkey; Electrical and Electronics Engineering, Ozyegin University, Istanbul, Turkey; Electrical and Electronics Engineering, Ozyegin University, Istanbul, Turkey","2025 International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems (MSWiM)","30 Dec 2025","2025","","","15","19","Multi-UAV systems have many uses in civil applications including search and rescue, surveillance, and monitoring. In dynamic missions such as search and rescue, where multiple targets or areas of interest might need to be searched and monitored, the accuracy of target detection and information sharing among UAVs and with ground control station (GCS) play a vital role in mission success. In this work, we present a joint coverage, connectivity, and revisit time optimization framework for multi-target search missions with imperfect sensing and dynamic information exchange. We provide evolutionary algorithms (EA) and reinforcement learning (RL) based solutions to the optimization problem. Our results show that by considering cell revisit times as well as connectivity in the path planning using EA, the target detection time can be improved by 30% and we can achieve near-instant GCS inform in realistic, uncertain environments. RL-based results show worse mission time performance compared to EA methods indicating that further tuning and better representation methods might be required.","","979-8-3315-6873-3","10.1109/MSWiM67937.2025.11308767","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11308767","area coverage;drone networks;UAVs;path planning;maintaining connectivity;multi-visit;information sharing;reinforcement learning;evolutionary algorithms","Adaptation models;Wireless sensor networks;Information sharing;Reinforcement learning;Object detection;Evolutionary computation;Path planning;Sensors;Optimization;Tuning","","","","19","IEEE","30 Dec 2025","27-31 Oct. 2025","27-31 Oct. 2025","IEEE","IEEE Conferences"
"A Review of Research on the Application of Deep Reinforcement Learning in Unmanned Aerial Vehicle Resource Allocation and Trajectory Planning","Y. Cai; E. Zhang; Y. Qi; L. Lu","School of Information Engineering, Beijing Institute of Graphic Communication, Beijing, China; School of Information Engineering, Beijing Institute of Graphic Communication, Beijing, China; School of Information Engineering, Beijing Institute of Graphic Communication, Beijing, China; School of Information Engineering, Beijing Institute of Graphic Communication, Beijing, China","2022 4th International Conference on Machine Learning, Big Data and Business Intelligence (MLBDBI)","22 May 2023","2022","","","238","241","In recent years, Unmanned Aerial Vehicle (UAV) has played an important role in the field of wireless communication with its high mobility and high controllability. In this paper, we focus on the application of deep reinforcement learning (DRL) in UAV resource allocation and trajectory planning. DRL is used to design the decision deployment of UAVs, optimize data transfer rate, throughput, energy efficiency and other metrics, and learn better path planning strategies to make UAVs’ decisions more intelligent. We summarize the reinforcement learning (RL) methods, describe the relevant research in the field of UAV wireless communication in recent years, and investigate the algorithmic mechanisms of DRL such as deep Q network (DQN) and deep deterministic policy gradient (DDPG) algorithm.","","979-8-3503-3394-7","10.1109/MLBDBI58171.2022.00053","Beijing Institute of Graphic Communication; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10125466","UAV;trajectory planning;deep reinforcement learning;DQN;DDPG","Deep learning;Measurement;Machine learning algorithms;Trajectory planning;Wireless networks;Reinforcement learning;Autonomous aerial vehicles","","17","","15","IEEE","22 May 2023","28-30 Oct. 2022","28-30 Oct. 2022","IEEE","IEEE Conferences"
"Deep Reinforcement Learning with Noise Injection for UAV Path Planning","A. Villanueva; A. Fajardo","Graduate School, Technological Institute of the Philippines, Quezon City, Philippines; Graduate Studies, Manuel L. Quezon University, Quezon City, Philippines",2019 IEEE 6th International Conference on Engineering Technologies and Applied Sciences (ICETAS),"16 Jun 2020","2019","","","1","6","Intelligent aerial vehicles became useful and serve as assistance to the civilian missions. These innovative techniques have evolved and consistently improve their capacity and performance. Thus, effective path planning is necessary to achieve these missions. This paper explores the Deep Reinforcement Learning with the use of Gaussian noise injection in path planning of unmanned aerial vehicle. A desirable result processed designing an effective UAV path planning by getting the lowest duration to reach the target destination point using Double Dueling Deep Q Network (D3QN), a combination of double Q - learning and dueling architectures were used in this paper. The D3QN was used to approximate the Q values of actions to select the best action while the Gaussian noise (GN) layer is also added after the convolutional neural network and dense layer of the dueling network. The Gaussian Noise layer applies additive zero-centered Gaussian noise using a standard deviation of 1.0. The D3QN with Gaussian noise is more stable in learning than the D3QN baseline and resulted in the shortest duration and avoiding the obstacles in the environment.","","978-1-7281-4082-7","10.1109/ICETAS48360.2019.9117478","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9117478","double Q network;dueling network;path planning;noise injection;deep reinforcement learning","Additives;Navigation;Gaussian noise;Neural networks;Autonomous aerial vehicles;Deep reinforcement learning;Path planning;Convolutional neural networks;Standards","","11","","45","IEEE","16 Jun 2020","20-21 Dec. 2019","20-21 Dec. 2019","IEEE","IEEE Conferences"
"Delayed Soft Actor-Critic Based Path Planning Method for UAV in Dense Obstacles Environment","J. Zhong; T. Long; J. Sun; J. Li; Y. Cao","School of Aerospace Engineering Beijing Institute of Technology, Beijing, China; School of Aerospace Engineering Beijing Institute of Technology, Beijing, China; School of Aerospace Engineering Beijing Institute of Technology, Beijing, China; School of Aerospace Engineering Beijing Institute of Technology, Beijing, China; School of Aerospace Engineering Beijing Institute of Technology, Beijing, China",2023 9th International Conference on Control Science and Systems Engineering (ICCSSE),"20 Sep 2023","2023","","","172","177","In order to improve the convergence performance of soft actor-critic (SAC) algorithm in path planning problems, a delayed prioritized experience replay soft actor critic (DPERSAC) is proposed by designing a novel experience replay mechanism in a non-uniform manner for decreasing the convergence time. The path planning mathematical model is built for unmanned aerial vehicles (UAVs) subject to the flight performance constraints and obstacle avoidance constraints. Then the three typical elements of SAC are customized to satisfy the requirements of UAV's path planning. Differ from the traditional update manner that the soft Q-function network and policy network are updated recursively, the soft Q-function network is updated conditionally firstly and the policy network is subsequently iterated based on the trained soft Q-function in this paper. Finally, the Monte Carlo simulation results demonstrate that the computational time of the proposed DPERSAC method is only 4% of the rolling-based sparse A * algorithm in the dense obstacle environment.","2832-1871","979-8-3503-3905-5","10.1109/ICCSSE59359.2023.10245929","National Natural Science Foundation of China(grant numbers:62003036); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10245929","Reinforcement Learning;Flight Path Planning;Soft Actor-Critic;Prioritized Experience Replay","Training;Monte Carlo methods;Simulation;Reinforcement learning;Autonomous aerial vehicles;Path planning;Robustness","","5","","10","IEEE","20 Sep 2023","16-18 June 2023","16-18 June 2023","IEEE","IEEE Conferences"
